,0
74,<(A388) A7-API - Altitude: 40000 - Ground Speed: 459 - Heading: 297>
75,<(B77W) HZ-AK30 - Altitude: 38000 - Ground Speed: 453 - Heading: 205>
76,<(A388) A6-EVP - Altitude: 30075 - Ground Speed: 456 - Heading: 124>
77,<(A35K) A6-XWC - Altitude: 38000 - Ground Speed: 426 - Heading: 237>
78,<(B77L) F-HMRF - Altitude: 36000 - Ground Speed: 438 - Heading: 284>
79,<(B789) N29975 - Altitude: 39996 - Ground Speed: 456 - Heading: 235>
80,<(B77W) B-18007 - Altitude: 34000 - Ground Speed: 446 - Heading: 291>
81,<(B77L) C-FNND - Altitude: 37875 - Ground Speed: 456 - Heading: 219>
82,<(B77W) HS-TKY - Altitude: 0 - Ground Speed: 15 - Heading: 90>
83,<(B789) ZK-NZM - Altitude: 35550 - Ground Speed: 550 - Heading: 56>
84,<(B789) ZK-NZK - Altitude: 21600 - Ground Speed: 308 - Heading: 359>
85,<(B77W) N2737U - Altitude: 36000 - Ground Speed: 447 - Heading: 226>
86,<(B77W) RP-C7775 - Altitude: 36000 - Ground Speed: 486 - Heading: 263>
87,<(A21N) N408AN - Altitude: 0 - Ground Speed: 0 - Heading: 89>
88,<(B77W) B-16738 - Altitude: 36000 - Ground Speed: 455 - Heading: 290>
89,<(B744) N405KZ - Altitude: 38000 - Ground Speed: 362 - Heading: 261>
90,<(B77W) B-16733 - Altitude: 35375 - Ground Speed: 406 - Heading: 265>
91,<(B789) ZK-NZN - Altitude: 41000 - Ground Speed: 569 - Heading: 74>
92,<(DRON) TC-J39 - Altitude: 18050 - Ground Speed: 81 - Heading: 191>
93,<(N/A) N/A - Altitude: 38000 - Ground Speed: 437 - Heading: 250>
94,<(B738) F-HUYK - Altitude: 38000 - Ground Speed: 409 - Heading: 287>
95,<(A359) N507DN - Altitude: 33375 - Ground Speed: 461 - Heading: 138>
96,<(B77W) B-16728 - Altitude: 36000 - Ground Speed: 382 - Heading: 238>
97,<(B77W) B-16730 - Altitude: 35000 - Ground Speed: 472 - Heading: 269>
98,<(B789) A6-BLD - Altitude: 38000 - Ground Speed: 466 - Heading: 235>
99,<(B77W) ZK-OKN - Altitude: 4600 - Ground Speed: 183 - Heading: 337>
100,<(B77W) B-18053 - Altitude: 36000 - Ground Speed: 437 - Heading: 265>
101,<(B788) JY-BAG - Altitude: 40000 - Ground Speed: 359 - Heading: 203>
102,<(A333) HL7709 - Altitude: 38975 - Ground Speed: 489 - Heading: 160>
103,<(A35K) B-LXK - Altitude: 38000 - Ground Speed: 392 - Heading: 234>
104,<(B77L) D-ALFC - Altitude: 37000 - Ground Speed: 545 - Heading: 122>
105,<(A359) N508DN - Altitude: 36975 - Ground Speed: 523 - Heading: 128>
106,<(B789) B-1431 - Altitude: 39100 - Ground Speed: 507 - Heading: 154>
107,<(A333) TC-LOG - Altitude: 38104 - Ground Speed: 409 - Heading: 293>
108,<(B789) N26952 - Altitude: 39996 - Ground Speed: 464 - Heading: 226>
109,<(B788) N805AN - Altitude: 40000 - Ground Speed: 381 - Heading: 218>
110,<(B789) N27959 - Altitude: 38000 - Ground Speed: 466 - Heading: 205>
111,<(B77W) N2645U - Altitude: 24875 - Ground Speed: 478 - Heading: 128>
112,<(B77L) B-2010 - Altitude: 29100 - Ground Speed: 471 - Heading: 159>
113,<(B788) JY-BAE - Altitude: 6025 - Ground Speed: 278 - Heading: 301>
114,<(0000) 00000000 - Altitude: 17100 - Ground Speed: 94 - Heading: 122>
115,<(A359) F-HREY - Altitude: 11200 - Ground Speed: 316 - Heading: 330>
116,<(A35K) B-LXJ - Altitude: 39000 - Ground Speed: 511 - Heading: 140>
117,<(A359) EI-IFA - Altitude: 38000 - Ground Speed: 471 - Heading: 195>
118,<(A339) PK-LES - Altitude: 0 - Ground Speed: 16 - Heading: 160>
119,<(B77W) A7-BAS - Altitude: 36000 - Ground Speed: 393 - Heading: 260>
120,<(GLEX) CS-GLB - Altitude: 45000 - Ground Speed: 446 - Heading: 306>
121,<(A359) B-18902 - Altitude: 40000 - Ground Speed: 375 - Heading: 229>
122,<(B77L) N864FD - Altitude: 37100 - Ground Speed: 501 - Heading: 141>
123,<(B789) JA880A - Altitude: 35875 - Ground Speed: 417 - Heading: 155>
124,<(B772) N756AM - Altitude: 6900 - Ground Speed: 201 - Heading: 269>
125,<(B788) VT-ANY - Altitude: 39000 - Ground Speed: 519 - Heading: 116>
126,<(B772) N78013 - Altitude: 15225 - Ground Speed: 409 - Heading: 150>
127,<(B78X) N12004 - Altitude: 20000 - Ground Speed: 392 - Heading: 247>
128,<(B788) VT-ANR - Altitude: 42275 - Ground Speed: 500 - Heading: 140>
129,<(B789) B-17883 - Altitude: 38000 - Ground Speed: 365 - Heading: 230>
130,<(B744) N583UP - Altitude: 40100 - Ground Speed: 396 - Heading: 227>
131,<(A333) D-AIKQ - Altitude: 40000 - Ground Speed: 374 - Heading: 233>
132,<(B77W) HL8216 - Altitude: 37000 - Ground Speed: 555 - Heading: 155>
133,<(B77W) PH-BVI - Altitude: 34000 - Ground Speed: 493 - Heading: 207>
134,<(B77W) 9V-SNA - Altitude: 35000 - Ground Speed: 495 - Heading: 135>
135,<(B772) N77012 - Altitude: 32500 - Ground Speed: 480 - Heading: 192>
136,<(B77L) A7-BFJ - Altitude: 5450 - Ground Speed: 117 - Heading: 219>
137,<(B772) PH-BQB - Altitude: 39000 - Ground Speed: 496 - Heading: 209>
138,<(B789) N831AA - Altitude: 0 - Ground Speed: 9 - Heading: 5>
139,<(B77W) F-GSQU - Altitude: 36000 - Ground Speed: 477 - Heading: 200>
140,<(B77L) A6-EWI - Altitude: 38000 - Ground Speed: 435 - Heading: 242>
141,<(B789) B-20E8 - Altitude: 38000 - Ground Speed: 480 - Heading: 330>
142,<(A333) B-5977 - Altitude: 11000 - Ground Speed: 288 - Heading: 211>
143,<(A359) 9V-SMQ - Altitude: 39000 - Ground Speed: 533 - Heading: 119>
144,<(B772) N751AN - Altitude: 33025 - Ground Speed: 583 - Heading: 131>
145,<(A333) N819NW - Altitude: 0 - Ground Speed: 11 - Heading: 30>
146,<(A359) 9V-SML - Altitude: 41000 - Ground Speed: 468 - Heading: 135>
147,<(B772) N216UA - Altitude: 6000 - Ground Speed: 208 - Heading: 263>
148,<(B77W) 9V-SWP - Altitude: 35000 - Ground Speed: 477 - Heading: 123>
149,<(B772) N753AN - Altitude: 36000 - Ground Speed: 535 - Heading: 188>
150,<(B789) JA881J - Altitude: 39000 - Ground Speed: 464 - Heading: 133>
151,<(B77W) B-18005 - Altitude: 37000 - Ground Speed: 635 - Heading: 103>
152,<(A332) D-AXGF - Altitude: 0 - Ground Speed: 0 - Heading: 270>
153,<(A359) D-AIXH - Altitude: 40000 - Ground Speed: 507 - Heading: 249>
154,<(B77W) B-7349 - Altitude: 35100 - Ground Speed: 469 - Heading: 163>
155,<(B77W) PH-BVF - Altitude: 0 - Ground Speed: 21 - Heading: 196>
156,<(A359) DQ-FAJ - Altitude: 8475 - Ground Speed: 274 - Heading: 353>
157,<(B77W) F-GZNR - Altitude: 33000 - Ground Speed: 546 - Heading: 93>
158,<(MD11) N612FE - Altitude: 0 - Ground Speed: 0 - Heading: 42>
159,<(A332) EI-EJP - Altitude: 27675 - Ground Speed: 433 - Heading: 198>
160,<(B772) PH-BQG - Altitude: 36000 - Ground Speed: 473 - Heading: 207>
161,<(B744) LX-YCV - Altitude: 4175 - Ground Speed: 225 - Heading: 88>
162,<(B772) PH-BQK - Altitude: 38000 - Ground Speed: 495 - Heading: 169>
163,<(B77L) D-AALN - Altitude: 37000 - Ground Speed: 532 - Heading: 118>
164,<(B789) C-FVLZ - Altitude: 38000 - Ground Speed: 458 - Heading: 224>
165,<(B77W) F-GSQC - Altitude: 36975 - Ground Speed: 458 - Heading: 190>
166,<(B77W) F-GSQI - Altitude: 36000 - Ground Speed: 499 - Heading: 178>
167,<(B77W) 9V-SWR - Altitude: 33000 - Ground Speed: 494 - Heading: 135>
168,<(B77W) A7-BEN - Altitude: 36000 - Ground Speed: 494 - Heading: 304>
169,<(B764) N837MH - Altitude: 0 - Ground Speed: 13 - Heading: 250>
170,<(A343) D-AIGX - Altitude: 16300 - Ground Speed: 322 - Heading: 210>
171,<(A359) D-AIVA - Altitude: 40000 - Ground Speed: 446 - Heading: 222>
172,<(A333) N817NW - Altitude: 0 - Ground Speed: 5 - Heading: 30>
173,<(B772) F-GSPF - Altitude: 38000 - Ground Speed: 402 - Heading: 250>
174,<(B77L) N876FD - Altitude: 0 - Ground Speed: 0 - Heading: 135>
175,<(B77W) HS-TKZ - Altitude: 35000 - Ground Speed: 556 - Heading: 109>
176,<(B748) D-ABYD - Altitude: 16525 - Ground Speed: 248 - Heading: 249>
177,<(B744) N705CK - Altitude: 41000 - Ground Speed: 465 - Heading: 147>
178,<(B772) N78008 - Altitude: 38000 - Ground Speed: 392 - Heading: 193>
179,<(B748) N611UP - Altitude: 36000 - Ground Speed: 427 - Heading: 237>
